fips_code,county,state,customers_out,run_start_time
12049,Hardee,Florida,1,2022-09-26 00:45:00
12055,Highlands,Florida,1,2022-09-26 00:45:00
12057,Hillsborough,Florida,5,2022-09-26 00:45:00
12061,Indian River,Florida,3,2022-09-26 00:45:00
12071,Lee,Florida,456,2022-09-26 00:45:00
12073,Leon,Florida,2,2022-09-26 00:45:00
12083,Marion,Florida,7,2022-09-26 00:45:00
12085,Martin,Florida,1,2022-09-26 00:45:00
12086,Miami-Dade,Florida,257,2022-09-26 00:45:00
12095,Orange,Florida,64,2022-09-26 00:45:00
12099,Palm Beach,Florida,157,2022-09-26 00:45:00
12101,Pasco,Florida,3,2022-09-26 00:45:00
12103,Pinellas,Florida,1,2022-09-26 00:45:00
12105,Polk,Florida,1,2022-09-26 00:45:00
12113,Santa Rosa,Florida,2,2022-09-26 00:45:00
12115,Sarasota,Florida,4,2022-09-26 00:45:00
12111,St. Lucie,Florida,62,2022-09-26 00:45:00
12121,Suwannee,Florida,3,2022-09-26 00:45:00
12127,Volusia,Florida,17,2022-09-26 00:45:00
12009,Brevard,Florida,28,2022-09-26 01:00:00
12011,Broward,Florida,90,2022-09-26 01:00:00
12015,Charlotte,Florida,26,2022-09-26 01:00:00
12021,Collier,Florida,68,2022-09-26 01:00:00
12029,Dixie,Florida,25,2022-09-26 01:00:00
12031,Duval,Florida,54,2022-09-26 01:00:00
12033,Escambia,Florida,1,2022-09-26 01:00:00
12049,Hardee,Florida,1,2022-09-26 01:00:00
12057,Hillsborough,Florida,4,2022-09-26 01:00:00
12061,Indian River,Florida,2,2022-09-26 01:00:00
12071,Lee,Florida,483,2022-09-26 01:00:00
12073,Leon,Florida,2,2022-09-26 01:00:00
12083,Marion,Florida,5,2022-09-26 01:00:00
12085,Martin,Florida,1,2022-09-26 01:00:00
12086,Miami-Dade,Florida,255,2022-09-26 01:00:00
12095,Orange,Florida,64,2022-09-26 01:00:00
12097,Osceola,Florida,1,2022-09-26 01:00:00
12099,Palm Beach,Florida,193,2022-09-26 01:00:00
12101,Pasco,Florida,52,2022-09-26 01:00:00
12103,Pinellas,Florida,1,2022-09-26 01:00:00
12113,Santa Rosa,Florida,2,2022-09-26 01:00:00
12115,Sarasota,Florida,4,2022-09-26 01:00:00
12111,St. Lucie,Florida,62,2022-09-26 01:00:00
12121,Suwannee,Florida,3,2022-09-26 01:00:00
12127,Volusia,Florida,15,2022-09-26 01:00:00
12009,Brevard,Florida,30,2022-09-26 01:15:00
12011,Broward,Florida,91,2022-09-26 01:15:00
12015,Charlotte,Florida,26,2022-09-26 01:15:00
12021,Collier,Florida,68,2022-09-26 01:15:00
12029,Dixie,Florida,25,2022-09-26 01:15:00
12031,Duval,Florida,54,2022-09-26 01:15:00
12033,Escambia,Florida,1,2022-09-26 01:15:00
12049,Hardee,Florida,1,2022-09-26 01:15:00
12057,Hillsborough,Florida,5,2022-09-26 01:15:00
12061,Indian River,Florida,2,2022-09-26 01:15:00
12071,Lee,Florida,484,2022-09-26 01:15:00
12073,Leon,Florida,3,2022-09-26 01:15:00
12083,Marion,Florida,5,2022-09-26 01:15:00
12085,Martin,Florida,1,2022-09-26 01:15:00
12086,Miami-Dade,Florida,168,2022-09-26 01:15:00
12095,Orange,Florida,65,2022-09-26 01:15:00
12097,Osceola,Florida,1,2022-09-26 01:15:00
12099,Palm Beach,Florida,85,2022-09-26 01:15:00
12101,Pasco,Florida,53,2022-09-26 01:15:00
12103,Pinellas,Florida,2,2022-09-26 01:15:00
12107,Putnam,Florida,4,2022-09-26 01:15:00
12113,Santa Rosa,Florida,2,2022-09-26 01:15:00
12115,Sarasota,Florida,4,2022-09-26 01:15:00
12111,St. Lucie,Florida,64,2022-09-26 01:15:00
12121,Suwannee,Florida,3,2022-09-26 01:15:00
12127,Volusia,Florida,15,2022-09-26 01:15:00
12009,Brevard,Florida,30,2022-09-26 01:30:00
12011,Broward,Florida,229,2022-09-26 01:30:00
12015,Charlotte,Florida,25,2022-09-26 01:30:00
12021,Collier,Florida,68,2022-09-26 01:30:00
12031,Duval,Florida,50,2022-09-26 01:30:00
12033,Escambia,Florida,1,2022-09-26 01:30:00
12057,Hillsborough,Florida,5,2022-09-26 01:30:00
12061,Indian River,Florida,2,2022-09-26 01:30:00
12071,Lee,Florida,312,2022-09-26 01:30:00
12073,Leon,Florida,2,2022-09-26 01:30:00
12083,Marion,Florida,20,2022-09-26 01:30:00
12085,Martin,Florida,1,2022-09-26 01:30:00
12086,Miami-Dade,Florida,152,2022-09-26 01:30:00
12095,Orange,Florida,65,2022-09-26 01:30:00
12097,Osceola,Florida,1,2022-09-26 01:30:00
12099,Palm Beach,Florida,65,2022-09-26 01:30:00
12101,Pasco,Florida,53,2022-09-26 01:30:00
12103,Pinellas,Florida,3,2022-09-26 01:30:00
12107,Putnam,Florida,4,2022-09-26 01:30:00
12113,Santa Rosa,Florida,2,2022-09-26 01:30:00
12115,Sarasota,Florida,5,2022-09-26 01:30:00
12111,St. Lucie,Florida,208,2022-09-26 01:30:00
12121,Suwannee,Florida,3,2022-09-26 01:30:00
12009,Brevard,Florida,30,2022-09-26 01:45:00
12011,Broward,Florida,170,2022-09-26 01:45:00
12015,Charlotte,Florida,25,2022-09-26 01:45:00
12017,Citrus,Florida,0,2022-09-26 01:45:00
12021,Collier,Florida,107,2022-09-26 01:45:00
12031,Duval,Florida,50,2022-09-26 01:45:00
12033,Escambia,Florida,1,2022-09-26 01:45:00
12053,Hernando,Florida,0,2022-09-26 01:45:00
12057,Hillsborough,Florida,5,2022-09-26 01:45:00
12061,Indian River,Florida,1,2022-09-26 01:45:00
12071,Lee,Florida,234,2022-09-26 01:45:00
12073,Leon,Florida,2,2022-09-26 01:45:00
12083,Marion,Florida,20,2022-09-26 01:45:00
12085,Martin,Florida,1,2022-09-26 01:45:00
12086,Miami-Dade,Florida,150,2022-09-26 01:45:00
12093,Okeechobee,Florida,1,2022-09-26 01:45:00
12095,Orange,Florida,65,2022-09-26 01:45:00
12099,Palm Beach,Florida,65,2022-09-26 01:45:00
12101,Pasco,Florida,0,2022-09-26 01:45:00
12103,Pinellas,Florida,3,2022-09-26 01:45:00
12105,Polk,Florida,1,2022-09-26 01:45:00
12107,Putnam,Florida,4,2022-09-26 01:45:00
12113,Santa Rosa,Florida,2,2022-09-26 01:45:00
12115,Sarasota,Florida,4,2022-09-26 01:45:00
12117,Seminole,Florida,1,2022-09-26 01:45:00
12111,St. Lucie,Florida,208,2022-09-26 01:45:00
12119,Sumter,Florida,0,2022-09-26 01:45:00
12121,Suwannee,Florida,3,2022-09-26 01:45:00
12009,Brevard,Florida,29,2022-09-26 02:00:00
12011,Broward,Florida,170,2022-09-26 02:00:00
12015,Charlotte,Florida,24,2022-09-26 02:00:00
12021,Collier,Florida,76,2022-09-26 02:00:00
12031,Duval,Florida,50,2022-09-26 02:00:00
12033,Escambia,Florida,1,2022-09-26 02:00:00
12057,Hillsborough,Florida,5,2022-09-26 02:00:00
12071,Lee,Florida,231,2022-09-26 02:00:00
12073,Leon,Florida,2,2022-09-26 02:00:00
12083,Marion,Florida,20,2022-09-26 02:00:00
12085,Martin,Florida,1,2022-09-26 02:00:00
12086,Miami-Dade,Florida,95,2022-09-26 02:00:00
12093,Okeechobee,Florida,1,2022-09-26 02:00:00
12095,Orange,Florida,66,2022-09-26 02:00:00
12097,Osceola,Florida,1,2022-09-26 02:00:00
12099,Palm Beach,Florida,65,2022-09-26 02:00:00
12101,Pasco,Florida,53,2022-09-26 02:00:00
12103,Pinellas,Florida,13,2022-09-26 02:00:00
12105,Polk,Florida,1,2022-09-26 02:00:00
12113,Santa Rosa,Florida,2,2022-09-26 02:00:00
12115,Sarasota,Florida,4,2022-09-26 02:00:00
12111,St. Lucie,Florida,208,2022-09-26 02:00:00
12121,Suwannee,Florida,3,2022-09-26 02:00:00
12129,Wakulla,Florida,1,2022-09-26 02:00:00
12009,Brevard,Florida,29,2022-09-26 02:15:00
12011,Broward,Florida,171,2022-09-26 02:15:00
12015,Charlotte,Florida,24,2022-09-26 02:15:00
12021,Collier,Florida,76,2022-09-26 02:15:00
12031,Duval,Florida,50,2022-09-26 02:15:00
12033,Escambia,Florida,1,2022-09-26 02:15:00
12057,Hillsborough,Florida,5,2022-09-26 02:15:00
12071,Lee,Florida,197,2022-09-26 02:15:00
12073,Leon,Florida,2,2022-09-26 02:15:00
12083,Marion,Florida,5,2022-09-26 02:15:00
12085,Martin,Florida,1,2022-09-26 02:15:00
12086,Miami-Dade,Florida,95,2022-09-26 02:15:00
12093,Okeechobee,Florida,1,2022-09-26 02:15:00
12095,Orange,Florida,35,2022-09-26 02:15:00
12097,Osceola,Florida,1,2022-09-26 02:15:00
12099,Palm Beach,Florida,65,2022-09-26 02:15:00
12103,Pinellas,Florida,13,2022-09-26 02:15:00
12113,Santa Rosa,Florida,2,2022-09-26 02:15:00
12115,Sarasota,Florida,4,2022-09-26 02:15:00
12111,St. Lucie,Florida,208,2022-09-26 02:15:00
12119,Sumter,Florida,1,2022-09-26 02:15:00
12121,Suwannee,Florida,3,2022-09-26 02:15:00
12129,Wakulla,Florida,1,2022-09-26 02:15:00
12009,Brevard,Florida,29,2022-09-26 02:30:00
12011,Broward,Florida,171,2022-09-26 02:30:00
12015,Charlotte,Florida,24,2022-09-26 02:30:00
12017,Citrus,Florida,4,2022-09-26 02:30:00
12021,Collier,Florida,76,2022-09-26 02:30:00
12031,Duval,Florida,50,2022-09-26 02:30:00
12033,Escambia,Florida,1,2022-09-26 02:30:00
12057,Hillsborough,Florida,4,2022-09-26 02:30:00
12071,Lee,Florida,197,2022-09-26 02:30:00
12073,Leon,Florida,2,2022-09-26 02:30:00
12083,Marion,Florida,5,2022-09-26 02:30:00
12085,Martin,Florida,1,2022-09-26 02:30:00
12086,Miami-Dade,Florida,95,2022-09-26 02:30:00
12093,Okeechobee,Florida,1,2022-09-26 02:30:00
12095,Orange,Florida,36,2022-09-26 02:30:00
12097,Osceola,Florida,1,2022-09-26 02:30:00
12099,Palm Beach,Florida,65,2022-09-26 02:30:00
12101,Pasco,Florida,1,2022-09-26 02:30:00
12103,Pinellas,Florida,98,2022-09-26 02:30:00
12113,Santa Rosa,Florida,2,2022-09-26 02:30:00
12115,Sarasota,Florida,4,2022-09-26 02:30:00
12111,St. Lucie,Florida,208,2022-09-26 02:30:00
12119,Sumter,Florida,1,2022-09-26 02:30:00
12121,Suwannee,Florida,3,2022-09-26 02:30:00
12129,Wakulla,Florida,1,2022-09-26 02:30:00
12009,Brevard,Florida,28,2022-09-26 02:45:00
12011,Broward,Florida,172,2022-09-26 02:45:00
12015,Charlotte,Florida,24,2022-09-26 02:45:00
12017,Citrus,Florida,4,2022-09-26 02:45:00
12021,Collier,Florida,76,2022-09-26 02:45:00
12031,Duval,Florida,50,2022-09-26 02:45:00
12033,Escambia,Florida,1,2022-09-26 02:45:00
12057,Hillsborough,Florida,4,2022-09-26 02:45:00
12071,Lee,Florida,158,2022-09-26 02:45:00
12073,Leon,Florida,2,2022-09-26 02:45:00
12083,Marion,Florida,5,2022-09-26 02:45:00
12085,Martin,Florida,1,2022-09-26 02:45:00
12086,Miami-Dade,Florida,95,2022-09-26 02:45:00
12093,Okeechobee,Florida,1,2022-09-26 02:45:00
12095,Orange,Florida,36,2022-09-26 02:45:00
12097,Osceola,Florida,1,2022-09-26 02:45:00
12099,Palm Beach,Florida,75,2022-09-26 02:45:00
12101,Pasco,Florida,1,2022-09-26 02:45:00
12103,Pinellas,Florida,107,2022-09-26 02:45:00
12113,Santa Rosa,Florida,2,2022-09-26 02:45:00
12115,Sarasota,Florida,3,2022-09-26 02:45:00
12117,Seminole,Florida,515,2022-09-26 02:45:00
12111,St. Lucie,Florida,208,2022-09-26 02:45:00
12119,Sumter,Florida,1,2022-09-26 02:45:00
12121,Suwannee,Florida,3,2022-09-26 02:45:00
12129,Wakulla,Florida,1,2022-09-26 02:45:00
12009,Brevard,Florida,29,2022-09-26 03:00:00
12011,Broward,Florida,156,2022-09-26 03:00:00
12015,Charlotte,Florida,24,2022-09-26 03:00:00
12017,Citrus,Florida,4,2022-09-26 03:00:00
12021,Collier,Florida,76,2022-09-26 03:00:00
12031,Duval,Florida,50,2022-09-26 03:00:00
12033,Escambia,Florida,1,2022-09-26 03:00:00
12057,Hillsborough,Florida,4,2022-09-26 03:00:00
12071,Lee,Florida,158,2022-09-26 03:00:00
12073,Leon,Florida,2,2022-09-26 03:00:00
12083,Marion,Florida,5,2022-09-26 03:00:00
12085,Martin,Florida,1,2022-09-26 03:00:00
12086,Miami-Dade,Florida,100,2022-09-26 03:00:00
12093,Okeechobee,Florida,1,2022-09-26 03:00:00
12095,Orange,Florida,38,2022-09-26 03:00:00
12097,Osceola,Florida,1,2022-09-26 03:00:00
12099,Palm Beach,Florida,76,2022-09-26 03:00:00
12101,Pasco,Florida,1,2022-09-26 03:00:00
12103,Pinellas,Florida,107,2022-09-26 03:00:00
12113,Santa Rosa,Florida,2,2022-09-26 03:00:00
12115,Sarasota,Florida,3,2022-09-26 03:00:00
12117,Seminole,Florida,515,2022-09-26 03:00:00
12111,St. Lucie,Florida,66,2022-09-26 03:00:00
12119,Sumter,Florida,1,2022-09-26 03:00:00
12121,Suwannee,Florida,3,2022-09-26 03:00:00
12129,Wakulla,Florida,1,2022-09-26 03:00:00
12009,Brevard,Florida,29,2022-09-26 03:15:00
12011,Broward,Florida,100,2022-09-26 03:15:00
12015,Charlotte,Florida,19,2022-09-26 03:15:00
12017,Citrus,Florida,4,2022-09-26 03:15:00
12021,Collier,Florida,76,2022-09-26 03:15:00
12033,Escambia,Florida,1,2022-09-26 03:15:00
12057,Hillsborough,Florida,4,2022-09-26 03:15:00
12069,Lake,Florida,1,2022-09-26 03:15:00
12071,Lee,Florida,15,2022-09-26 03:15:00
12073,Leon,Florida,2,2022-09-26 03:15:00
12083,Marion,Florida,6,2022-09-26 03:15:00
12085,Martin,Florida,1,2022-09-26 03:15:00
12086,Miami-Dade,Florida,77,2022-09-26 03:15:00
12093,Okeechobee,Florida,1,2022-09-26 03:15:00
12095,Orange,Florida,38,2022-09-26 03:15:00
12097,Osceola,Florida,1,2022-09-26 03:15:00
12099,Palm Beach,Florida,76,2022-09-26 03:15:00
12101,Pasco,Florida,1,2022-09-26 03:15:00
12103,Pinellas,Florida,107,2022-09-26 03:15:00
12113,Santa Rosa,Florida,2,2022-09-26 03:15:00
12115,Sarasota,Florida,3,2022-09-26 03:15:00
12117,Seminole,Florida,515,2022-09-26 03:15:00
12111,St. Lucie,Florida,66,2022-09-26 03:15:00
12121,Suwannee,Florida,3,2022-09-26 03:15:00
12009,Brevard,Florida,30,2022-09-26 03:30:00
12011,Broward,Florida,101,2022-09-26 03:30:00
12015,Charlotte,Florida,19,2022-09-26 03:30:00
12017,Citrus,Florida,4,2022-09-26 03:30:00
12021,Collier,Florida,76,2022-09-26 03:30:00
12033,Escambia,Florida,1,2022-09-26 03:30:00
12057,Hillsborough,Florida,4,2022-09-26 03:30:00
12071,Lee,Florida,10,2022-09-26 03:30:00
12073,Leon,Florida,3,2022-09-26 03:30:00
12083,Marion,Florida,5,2022-09-26 03:30:00
12085,Martin,Florida,1,2022-09-26 03:30:00
12086,Miami-Dade,Florida,77,2022-09-26 03:30:00
12093,Okeechobee,Florida,1,2022-09-26 03:30:00
12095,Orange,Florida,38,2022-09-26 03:30:00
12097,Osceola,Florida,1,2022-09-26 03:30:00
12099,Palm Beach,Florida,68,2022-09-26 03:30:00
12101,Pasco,Florida,1,2022-09-26 03:30:00
12103,Pinellas,Florida,110,2022-09-26 03:30:00
12113,Santa Rosa,Florida,2,2022-09-26 03:30:00
12115,Sarasota,Florida,3,2022-09-26 03:30:00
12117,Seminole,Florida,225,2022-09-26 03:30:00
12111,St. Lucie,Florida,66,2022-09-26 03:30:00
12121,Suwannee,Florida,3,2022-09-26 03:30:00
12009,Brevard,Florida,29,2022-09-26 03:45:00
12011,Broward,Florida,101,2022-09-26 03:45:00
12015,Charlotte,Florida,19,2022-09-26 03:45:00
12017,Citrus,Florida,4,2022-09-26 03:45:00
12021,Collier,Florida,76,2022-09-26 03:45:00
12033,Escambia,Florida,1,2022-09-26 03:45:00
12071,Lee,Florida,4,2022-09-26 03:45:00
12073,Leon,Florida,4,2022-09-26 03:45:00
12083,Marion,Florida,6,2022-09-26 03:45:00
12085,Martin,Florida,1,2022-09-26 03:45:00
12086,Miami-Dade,Florida,71,2022-09-26 03:45:00
12093,Okeechobee,Florida,1,2022-09-26 03:45:00
12095,Orange,Florida,38,2022-09-26 03:45:00
12097,Osceola,Florida,1,2022-09-26 03:45:00
12099,Palm Beach,Florida,60,2022-09-26 03:45:00
12101,Pasco,Florida,1,2022-09-26 03:45:00
12103,Pinellas,Florida,2966,2022-09-26 03:45:00
12115,Sarasota,Florida,3,2022-09-26 03:45:00
12117,Seminole,Florida,226,2022-09-26 03:45:00
12111,St. Lucie,Florida,66,2022-09-26 03:45:00
12009,Brevard,Florida,29,2022-09-26 04:00:00
12011,Broward,Florida,57,2022-09-26 04:00:00
