wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster,vtec_year
RAH,2022-09-29 15:07,2022-10-01 03:23,2022-09-29 15:07,202210201507,TR,C,W,1009,CAN,NCZ076,671.5225219726562,2022-10-01 03:23,,,,,False,,,,,,,202209291507-KRAH-WTUS82-TCVRAH,,2022
RAH,2022-09-29 15:07,2022-10-01 03:23,2022-09-29 15:07,202210201507,TR,C,W,1009,CAN,NCZ021,1069.2520751953125,2022-10-01 03:23,,,,,False,,,,,,,202209291507-KRAH-WTUS82-TCVRAH,,2022
RAH,2022-09-29 15:07,2022-10-01 03:00,2022-09-29 15:07,202210201507,TR,C,W,1009,CAN,NCZ086,1016.34619140625,2022-10-01 03:00,,,,,False,,,,,,,202209291507-KRAH-WTUS82-TCVRAH,,2022
RAH,2022-09-29 15:07,2022-10-01 03:00,2022-09-29 15:07,202210201507,TR,C,W,1009,CAN,NCZ042,2061.445556640625,2022-10-01 03:00,,,,,False,,,,,,,202209291507-KRAH-WTUS82-TCVRAH,,2022
RAH,2022-09-29 15:07,2022-10-01 03:00,2022-09-29 15:07,202210201507,TR,C,W,1009,CAN,NCZ026,1280.78271484375,2022-10-01 03:00,,,,,False,,,,,,,202209291507-KRAH-WTUS82-TCVRAH,,2022
RAH,2022-09-29 15:07,2022-10-01 03:23,2022-09-29 15:07,202210201507,TR,C,W,1009,CAN,NCZ023,1125.8494873046875,2022-10-01 03:23,,,,,False,,,,,,,202209291507-KRAH-WTUS82-TCVRAH,,2022
LWX,2022-09-25 22:01,2022-09-25 23:00,2022-09-25 22:01,202209252300,MA,C,W,259,CON,ANZ543,775.6605224609375,2022-09-25 22:37,,,,,False,,,,,,,202209252201-KLWX-WHUS51-SMWLWX,KR,2022
LWX,2022-09-25 22:01,2022-09-25 22:37,2022-09-25 22:01,202209252300,MA,C,W,259,CAN,ANZ537,519.6334228515625,2022-09-25 22:37,,,,,False,,,,,,,202209252201-KLWX-WHUS51-SMWLWX,KR,2022
JAN,2022-09-28 14:00,2022-09-29 01:00,2022-09-27 19:22,202209290100,FW,C,W,3,CON,LAZ015,1463.833984375,2022-09-28 09:11,,,,,False,,,,,,,202209271922-KJAN-WWUS84-RFWJAN,CR,2022
LWX,2022-09-28 22:00,2022-10-01 00:00,2022-09-28 05:27,202209292200,SC,C,Y,189,CON,ANZ542,44.32318115234375,2022-09-30 22:42,,,,,False,,,,,,,202209280527-KLWX-WHUS71-MWWLWX,,2022
JAN,2022-09-28 14:00,2022-09-29 01:00,2022-09-27 19:22,202209290100,FW,C,W,3,CON,MSZ018,2346.907470703125,2022-09-28 09:11,,,,,False,,,,,,,202209271922-KJAN-WWUS84-RFWJAN,CR,2022
JAN,2022-09-28 14:00,2022-09-29 01:00,2022-09-27 19:22,202209290100,FW,C,W,3,CON,MSZ060,1260.5550537109375,2022-09-28 09:11,,,,,False,,,,,,,202209271922-KJAN-WWUS84-RFWJAN,CR,2022
MFL,2022-09-28 01:29,2022-09-28 02:00,2022-09-28 01:29,202209280200,TO,C,W,43,EXP,FLC099,5142.36865234375,2022-09-28 01:54,,,,,False,,,,,,,202209280129-KMFL-WFUS52-TORMFL,ATV,2022
LWX,2022-09-28 22:00,2022-09-30 10:00,2022-09-28 05:27,202209292200,SC,C,Y,189,EXT,ANZ534,998.7154541015625,2022-09-30 09:25,,,,,False,,,,,,,202209280527-KLWX-WHUS71-MWWLWX,,2022
LWX,2022-09-28 22:00,2022-09-29 18:00,2022-09-28 05:27,202209291800,SC,C,Y,189,CON,ANZ538,65.48129272460938,2022-09-29 16:45,,,,,False,,,,,,,202209280527-KLWX-WHUS71-MWWLWX,,2022
JAN,2022-09-28 14:00,2022-09-29 01:00,2022-09-27 19:22,202209290100,FW,C,W,3,CON,MSZ036,1979.8267822265625,2022-09-28 09:11,,,,,False,,,,,,,202209271922-KJAN-WWUS84-RFWJAN,CR,2022
LWX,2022-09-28 22:00,2022-09-29 18:00,2022-09-28 05:27,202209291800,SC,C,Y,189,CON,ANZ531,468.4309387207031,2022-09-29 16:45,,,,,False,,,,,,,202209280527-KLWX-WHUS71-MWWLWX,,2022
LWX,2022-09-28 22:00,2022-09-29 18:00,2022-09-28 21:44,202209291800,SC,C,Y,189,CON,ANZ535,58.30635070800781,2022-09-29 16:45,,,,,False,,,,,,,202209282144-KLWX-WHUS71-MWWLWX,,2022
JAN,2022-09-28 14:00,2022-09-29 01:00,2022-09-27 19:22,202209290100,FW,C,W,3,CON,MSZ053,1298.958251953125,2022-09-28 09:11,,,,,False,,,,,,,202209271922-KJAN-WWUS84-RFWJAN,CR,2022
JAN,2022-09-28 14:00,2022-09-29 01:00,2022-09-27 19:22,202209290100,FW,C,W,3,CON,MSZ073,1297.3909912109375,2022-09-28 09:11,,,,,False,,,,,,,202209271922-KJAN-WWUS84-RFWJAN,CR,2022
JAN,2022-09-28 14:00,2022-09-29 01:00,2022-09-27 19:22,202209290100,FW,C,W,3,CON,MSZ035,1117.198486328125,2022-09-28 09:11,,,,,False,,,,,,,202209271922-KJAN-WWUS84-RFWJAN,CR,2022
JAN,2022-09-28 14:00,2022-09-29 01:00,2022-09-27 19:22,202209290100,FW,C,W,3,CON,MSZ033,1196.812744140625,2022-09-28 09:11,,,,,False,,,,,,,202209271922-KJAN-WWUS84-RFWJAN,CR,2022
GGW,2022-09-24 15:00,2022-09-25 00:00,2022-09-24 08:09,202209250000,LW,C,Y,42,EXP,MTZ021,4323.49267578125,2022-09-24 23:47,,,,,False,,,,,,,202209240809-KGGW-WWUS75-NPWGGW,,2022
GGW,2022-09-24 15:00,2022-09-25 00:00,2022-09-24 08:09,202209250000,LW,C,Y,42,EXP,MTZ022,12520.0078125,2022-09-24 23:47,,,,,False,,,,,,,202209240809-KGGW-WWUS75-NPWGGW,,2022
APX,2022-09-29 04:00,2022-09-28 06:46,2022-09-27 19:21,202209291300,FZ,C,A,1,UPG,MIZ023,1453.437744140625,2022-09-28 06:46,,,,,False,,,,,,,202209271921-KAPX-WWUS73-NPWAPX,FEF,2022
JAN,2022-09-28 14:00,2022-09-29 01:00,2022-09-27 19:22,202209290100,FW,C,W,3,CON,MSZ047,1603.6744384765625,2022-09-28 09:11,,,,,False,,,,,,,202209271922-KJAN-WWUS84-RFWJAN,CR,2022
BUF,2022-09-26 20:16,2022-09-26 20:50,2022-09-26 20:16,202209262100,MA,C,W,109,CAN,LOZ065,519.845458984375,2022-09-26 20:50,,,,,False,,,,,,,202209262016-KBUF-WHUS51-SMWBUF,Mitchell,2022
JAN,2022-09-28 14:00,2022-09-29 01:00,2022-09-27 19:22,202209290100,FW,C,W,3,CON,MSZ029,1096.964599609375,2022-09-28 09:11,,,,,False,,,,,,,202209271922-KJAN-WWUS84-RFWJAN,CR,2022
JAN,2022-09-28 14:00,2022-09-29 01:00,2022-09-27 19:22,202209290100,FW,C,W,3,CON,MSZ040,1143.7105712890625,2022-09-28 09:11,,,,,False,,,,,,,202209271922-KJAN-WWUS84-RFWJAN,CR,2022
JAN,2022-09-28 14:00,2022-09-29 01:00,2022-09-27 19:22,202209290100,FW,C,W,3,CON,MSZ027,1643.7578125,2022-09-28 09:11,,,,,False,,,,,,,202209271922-KJAN-WWUS84-RFWJAN,CR,2022
JAN,2022-09-28 14:00,2022-09-29 01:00,2022-09-27 19:22,202209290100,FW,C,W,3,CON,LAZ009,1146.6854248046875,2022-09-28 09:11,,,,,False,,,,,,,202209271922-KJAN-WWUS84-RFWJAN,CR,2022
OKX,2022-09-26 01:56,2022-09-26 03:50,2022-09-26 01:56,202209260500,FF,C,W,29,CAN,NJC013,332.50384521484375,2022-09-26 03:50,00000,0,ER,OO,False,,,,,,,202209260156-KOKX-WGUS51-FFWOKX,12,2022
APX,2022-09-29 04:00,2022-09-28 06:46,2022-09-27 19:21,202209291300,FZ,C,A,1,UPG,MIZ016,1247.5040283203125,2022-09-28 06:46,,,,,False,,,,,,,202209271921-KAPX-WWUS73-NPWAPX,FEF,2022
MRX,2022-09-25 22:23,2022-09-25 23:00,2022-09-25 22:23,202209252300,SV,C,W,184,NEW,TNC019,900.3663330078125,2022-09-25 22:23,,,,,False,,,,,,,202209252223-KMRX-WUUS54-SVRMRX,BW,2022
MRX,2022-09-25 22:54,2022-09-25 23:32,2022-09-25 22:54,202209252345,SV,C,W,185,CAN,TNC163,1112.9747314453125,2022-09-25 23:32,,,,,False,,,,,,,202209252254-KMRX-WUUS54-SVRMRX,KRS,2022
MRX,2022-09-25 22:54,2022-09-25 23:32,2022-09-25 22:54,202209252345,SV,C,W,185,CAN,TNC179,853.38916015625,2022-09-25 23:32,,,,,False,,,,,,,202209252254-KMRX-WUUS54-SVRMRX,KRS,2022
MRX,2022-09-25 22:54,2022-09-25 23:32,2022-09-25 22:54,202209252345,SV,C,W,185,CAN,VAC520,34.19453430175781,2022-09-25 23:32,,,,,False,,,,,,,202209252254-KMRX-WUUS54-SVRMRX,KRS,2022
MRX,2022-09-25 22:54,2022-09-25 23:32,2022-09-25 22:54,202209252345,SV,C,W,185,CAN,TNC171,482.96710205078125,2022-09-25 23:32,,,,,False,,,,,,,202209252254-KMRX-WUUS54-SVRMRX,KRS,2022
APX,2022-09-29 04:00,2022-09-28 06:46,2022-09-27 19:21,202209291300,FZ,C,A,1,UPG,MIZ017,2060.214111328125,2022-09-28 06:46,,,,,False,,,,,,,202209271921-KAPX-WWUS73-NPWAPX,FEF,2022
