fips_code,county,state,customers_out,run_start_time
48187,Guadalupe,Texas,5,2021-02-10 00:45:00
48189,Hale,Texas,1,2021-02-10 00:45:00
48201,Harris,Texas,1436,2021-02-10 00:45:00
48203,Harrison,Texas,4,2021-02-10 00:45:00
48215,Hidalgo,Texas,17,2021-02-10 00:45:00
48235,Irion,Texas,1,2021-02-10 00:45:00
48239,Jackson,Texas,4,2021-02-10 00:45:00
48245,Jefferson,Texas,38,2021-02-10 00:45:00
48249,Jim Wells,Texas,4,2021-02-10 00:45:00
48299,Llano,Texas,1,2021-02-10 00:45:00
48309,McLennan,Texas,1,2021-02-10 00:45:00
48329,Midland,Texas,1,2021-02-10 00:45:00
48337,Montague,Texas,1,2021-02-10 00:45:00
48339,Montgomery,Texas,1,2021-02-10 00:45:00
48341,Moore,Texas,1,2021-02-10 00:45:00
48355,Nueces,Texas,15,2021-02-10 00:45:00
48371,Pecos,Texas,1,2021-02-10 00:45:00
48391,Refugio,Texas,4,2021-02-10 00:45:00
48397,Rockwall,Texas,2,2021-02-10 00:45:00
48423,Smith,Texas,2,2021-02-10 00:45:00
48439,Tarrant,Texas,1812,2021-02-10 00:45:00
48453,Travis,Texas,92,2021-02-10 00:45:00
48465,Val Verde,Texas,6,2021-02-10 00:45:00
48471,Walker,Texas,1,2021-02-10 00:45:00
48475,Ward,Texas,1,2021-02-10 00:45:00
48479,Webb,Texas,4,2021-02-10 00:45:00
48485,Wichita,Texas,7,2021-02-10 00:45:00
48491,Williamson,Texas,129,2021-02-10 00:45:00
48019,Bandera,Texas,1,2021-02-10 01:00:00
48027,Bell,Texas,4,2021-02-10 01:00:00
48029,Bexar,Texas,20,2021-02-10 01:00:00
48039,Brazoria,Texas,1,2021-02-10 01:00:00
48061,Cameron,Texas,4,2021-02-10 01:00:00
48085,Collin,Texas,2,2021-02-10 01:00:00
48089,Colorado,Texas,5,2021-02-10 01:00:00
48095,Concho,Texas,4,2021-02-10 01:00:00
48097,Cooke,Texas,1,2021-02-10 01:00:00
48113,Dallas,Texas,158,2021-02-10 01:00:00
48119,Delta,Texas,6,2021-02-10 01:00:00
48121,Denton,Texas,1,2021-02-10 01:00:00
48133,Eastland,Texas,4,2021-02-10 01:00:00
48135,Ector,Texas,1,2021-02-10 01:00:00
48141,El Paso,Texas,45,2021-02-10 01:00:00
48147,Fannin,Texas,1,2021-02-10 01:00:00
48157,Fort Bend,Texas,3,2021-02-10 01:00:00
48163,Frio,Texas,1,2021-02-10 01:00:00
48167,Galveston,Texas,4,2021-02-10 01:00:00
48181,Grayson,Texas,1,2021-02-10 01:00:00
48183,Gregg,Texas,4,2021-02-10 01:00:00
48187,Guadalupe,Texas,5,2021-02-10 01:00:00
48189,Hale,Texas,1,2021-02-10 01:00:00
48201,Harris,Texas,1454,2021-02-10 01:00:00
48215,Hidalgo,Texas,18,2021-02-10 01:00:00
48235,Irion,Texas,1,2021-02-10 01:00:00
48239,Jackson,Texas,4,2021-02-10 01:00:00
48245,Jefferson,Texas,38,2021-02-10 01:00:00
48249,Jim Wells,Texas,4,2021-02-10 01:00:00
48299,Llano,Texas,1,2021-02-10 01:00:00
48329,Midland,Texas,1,2021-02-10 01:00:00
48337,Montague,Texas,1,2021-02-10 01:00:00
48339,Montgomery,Texas,1,2021-02-10 01:00:00
48341,Moore,Texas,1,2021-02-10 01:00:00
48355,Nueces,Texas,15,2021-02-10 01:00:00
48371,Pecos,Texas,1,2021-02-10 01:00:00
48391,Refugio,Texas,4,2021-02-10 01:00:00
48397,Rockwall,Texas,2,2021-02-10 01:00:00
48423,Smith,Texas,2,2021-02-10 01:00:00
48439,Tarrant,Texas,1822,2021-02-10 01:00:00
48453,Travis,Texas,92,2021-02-10 01:00:00
48465,Val Verde,Texas,6,2021-02-10 01:00:00
48471,Walker,Texas,1,2021-02-10 01:00:00
48475,Ward,Texas,1,2021-02-10 01:00:00
48485,Wichita,Texas,8,2021-02-10 01:00:00
48491,Williamson,Texas,128,2021-02-10 01:00:00
48507,Zavala,Texas,1,2021-02-10 01:00:00
48001,Anderson,Texas,2,2021-02-10 01:15:00
48019,Bandera,Texas,1,2021-02-10 01:15:00
48021,Bastrop,Texas,1,2021-02-10 01:15:00
48027,Bell,Texas,5,2021-02-10 01:15:00
48029,Bexar,Texas,20,2021-02-10 01:15:00
48037,Bowie,Texas,4,2021-02-10 01:15:00
48061,Cameron,Texas,4,2021-02-10 01:15:00
48085,Collin,Texas,2,2021-02-10 01:15:00
48089,Colorado,Texas,5,2021-02-10 01:15:00
48095,Concho,Texas,4,2021-02-10 01:15:00
48097,Cooke,Texas,1,2021-02-10 01:15:00
48113,Dallas,Texas,157,2021-02-10 01:15:00
48121,Denton,Texas,1,2021-02-10 01:15:00
48133,Eastland,Texas,4,2021-02-10 01:15:00
48135,Ector,Texas,1,2021-02-10 01:15:00
48139,Ellis,Texas,8,2021-02-10 01:15:00
48141,El Paso,Texas,45,2021-02-10 01:15:00
48157,Fort Bend,Texas,3,2021-02-10 01:15:00
48163,Frio,Texas,1,2021-02-10 01:15:00
48167,Galveston,Texas,4,2021-02-10 01:15:00
48181,Grayson,Texas,1,2021-02-10 01:15:00
48183,Gregg,Texas,4,2021-02-10 01:15:00
48187,Guadalupe,Texas,5,2021-02-10 01:15:00
48189,Hale,Texas,1,2021-02-10 01:15:00
48201,Harris,Texas,1474,2021-02-10 01:15:00
48215,Hidalgo,Texas,18,2021-02-10 01:15:00
48235,Irion,Texas,41,2021-02-10 01:15:00
48239,Jackson,Texas,4,2021-02-10 01:15:00
48245,Jefferson,Texas,38,2021-02-10 01:15:00
48249,Jim Wells,Texas,4,2021-02-10 01:15:00
48299,Llano,Texas,1,2021-02-10 01:15:00
48329,Midland,Texas,1,2021-02-10 01:15:00
48337,Montague,Texas,1,2021-02-10 01:15:00
48339,Montgomery,Texas,26,2021-02-10 01:15:00
48341,Moore,Texas,1,2021-02-10 01:15:00
48355,Nueces,Texas,15,2021-02-10 01:15:00
48391,Refugio,Texas,4,2021-02-10 01:15:00
48397,Rockwall,Texas,2,2021-02-10 01:15:00
48409,San Patricio,Texas,4,2021-02-10 01:15:00
48423,Smith,Texas,2,2021-02-10 01:15:00
48439,Tarrant,Texas,4158,2021-02-10 01:15:00
